CaseID,ActivityID,CompleteTimestamp
1,3,2014-12-03 08:06:44
1,5,2014-12-03 08:07:25
1,4,2014-12-03 08:07:35
1,9,2014-12-03 08:32:00
1,8,2014-12-03 08:32:00
1,2,2014-12-03 08:32:00
1,7,2014-12-03 13:27:57
1,6,2014-12-03 13:28:01
2,3,2014-11-19 02:16:21
2,5,2014-11-19 02:18:49
2,4,2014-11-19 02:19:09
2,7,2014-11-19 02:19:38
2,9,2014-11-19 02:43:00
2,2,2014-11-19 02:43:00
2,8,2014-11-19 02:43:00
2,6,2014-11-19 04:43:37
2,1,2014-11-19 04:44:29
2,10,2014-11-22 10:30:00
2,15,2014-11-28 15:15:17
3,3,2014-02-16 08:55:43
3,5,2014-02-16 08:57:14
3,4,2014-02-16 08:57:28
3,2,2014-02-16 09:03:00
3,8,2014-02-16 09:03:00
3,9,2014-02-16 09:03:00
3,7,2014-02-16 12:52:02
3,6,2014-02-16 12:52:06
4,3,2014-10-12 09:22:24
4,5,2014-10-12 09:43:01
4,4,2014-10-12 09:43:19
4,7,2014-10-12 09:43:51
4,8,2014-10-12 10:10:00
4,9,2014-10-12 10:10:00
4,2,2014-10-12 10:10:00
4,6,2014-10-12 11:15:22
4,1,2014-10-12 13:19:40
4,9,2014-10-13 07:00:00
4,2,2014-10-14 07:00:00
4,9,2014-10-14 07:00:00
4,9,2014-10-16 07:00:00
4,2,2014-10-16 07:00:00
4,2,2014-10-17 07:00:00
4,9,2014-10-17 07:00:00
4,10,2014-10-18 14:15:00
6,3,2014-09-22 08:00:00
6,5,2014-09-22 08:04:45
6,4,2014-09-22 08:05:01
6,2,2014-09-22 08:15:00
6,8,2014-09-22 08:15:00
6,9,2014-09-22 08:15:00
6,7,2014-09-22 08:15:14
6,6,2014-09-22 08:45:56
8,3,2014-06-21 05:14:16
8,5,2014-06-21 05:26:28
8,4,2014-06-21 05:26:52
8,8,2014-06-21 05:29:00
8,9,2014-06-21 05:29:00
8,2,2014-06-21 05:29:00
8,6,2014-06-21 07:55:47
8,1,2014-06-21 09:56:55
8,2,2014-06-23 06:00:00
8,9,2014-06-23 06:00:00
8,2,2014-06-25 06:00:00
8,9,2014-06-25 06:00:00
8,2,2014-06-28 06:00:00
8,9,2014-06-30 08:00:00
8,2,2014-06-30 08:00:00
8,9,2014-07-02 09:00:00
8,2,2014-07-02 09:00:00
8,2,2014-07-05 06:00:00
8,9,2014-07-05 06:00:00
8,10,2014-07-06 08:00:00
8,15,2014-07-06 18:42:00
8,2,2014-07-06 18:58:00
8,9,2014-07-06 18:58:00
8,8,2014-07-06 18:58:00
10,3,2014-02-26 09:15:03
10,5,2014-02-26 09:22:43
10,4,2014-02-26 09:22:59
10,8,2014-02-26 09:30:00
10,2,2014-02-26 09:30:00
10,9,2014-02-26 09:30:00
10,7,2014-02-26 13:27:59
10,6,2014-02-26 13:28:00
10,1,2014-02-26 13:28:44
11,3,2014-04-06 14:03:24
11,2,2014-04-06 14:20:00
11,9,2014-04-06 14:20:00
11,5,2014-04-06 14:32:29
11,4,2014-04-06 14:32:44
11,8,2014-04-06 15:07:00
11,7,2014-04-06 17:32:06
11,6,2014-04-06 17:32:07
11,1,2014-04-06 17:34:16
11,2,2014-04-07 07:00:00
11,9,2014-04-07 07:00:00
11,9,2014-04-08 07:00:00
11,2,2014-04-08 07:00:00
11,2,2014-04-09 07:00:00
11,9,2014-04-09 07:00:00
11,10,2014-04-12 09:00:00
11,15,2014-04-20 00:58:15
12,3,2014-04-16 10:21:27
12,5,2014-04-16 10:36:06
12,4,2014-04-16 10:36:28
12,9,2014-04-16 11:02:00
12,2,2014-04-16 11:02:00
12,6,2014-04-16 15:33:24
12,1,2014-04-16 15:33:58
12,2,2014-04-17 07:00:00
12,2,2014-04-20 07:00:00
12,2,2014-04-23 07:00:00
12,2,2014-04-24 07:00:00
12,10,2014-04-25 09:20:00
12,15,2014-07-13 11:18:24
13,4,2014-05-09 23:00:00
13,3,2014-05-10 09:03:26
13,5,2014-05-10 09:13:50
13,9,2014-05-10 09:24:00
13,2,2014-05-10 09:24:00
14,3,2014-08-06 15:06:19
14,5,2014-08-06 15:18:26
14,4,2014-08-06 15:19:26
14,8,2014-08-06 15:30:00
14,9,2014-08-06 15:30:00
14,2,2014-08-06 15:30:00
14,7,2014-08-06 15:30:44
14,6,2014-08-06 17:30:57
14,1,2014-08-06 18:49:13
14,9,2014-08-07 06:00:00
14,2,2014-08-07 06:00:00
14,1,2014-08-07 12:07:30
14,2,2014-08-08 06:00:00
14,9,2014-08-08 06:00:00
14,10,2014-08-09 11:30:00
15,3,2013-11-20 07:34:52
15,5,2013-11-20 07:43:28
15,4,2013-11-20 07:44:34
15,8,2013-11-20 08:12:00
15,9,2013-11-20 08:12:00
15,2,2013-11-20 08:12:00
15,6,2013-11-20 09:22:45
15,1,2013-11-20 10:03:16
15,9,2013-11-23 07:00:00
15,2,2013-11-23 07:00:00
15,10,2013-11-24 09:00:00
16,3,2014-05-20 19:53:19
16,5,2014-05-20 20:14:36
16,4,2014-05-20 20:14:50
16,7,2014-05-20 20:15:05
16,8,2014-05-20 20:22:00
16,9,2014-05-20 20:22:00
16,2,2014-05-20 20:22:00
16,6,2014-05-20 20:30:00
16,1,2014-05-21 00:01:33
16,9,2014-05-22 06:00:00
16,2,2014-05-22 06:00:00
16,10,2014-05-23 10:41:00
17,3,2013-12-19 18:47:57
17,5,2013-12-19 18:49:24
17,4,2013-12-19 18:49:36
17,8,2013-12-19 19:04:00
17,2,2013-12-19 19:04:00
17,9,2013-12-19 19:04:00
17,7,2013-12-19 21:34:57
17,6,2013-12-19 21:36:25
17,1,2013-12-19 21:37:55
17,2,2013-12-21 10:00:00
17,9,2013-12-21 10:00:00
17,9,2013-12-23 07:00:00
17,2,2013-12-23 07:00:00
17,10,2013-12-24 13:00:00
17,15,2014-12-19 01:38:36
18,3,2014-05-25 16:20:51
18,5,2014-05-25 16:24:51
18,2,2014-05-25 16:29:00
18,9,2014-05-25 16:29:00
18,8,2014-05-25 16:29:00
18,4,2014-05-25 16:36:15
18,7,2014-05-25 19:58:37
18,6,2014-05-25 19:58:38
18,1,2014-05-25 19:59:33
18,9,2014-05-25 21:27:00
18,1,2014-05-26 00:14:19
